feature,sample_class,sample_class_label,sample_count,min_value,max_value,non_event_count,non_event_rate,event_count,event_rate,distbn_non_event,distbn_event,woe,iv,iv_sum,remarks
min,"(-0.001, 25.0]",0.0,1147,0.0,25.0,925,0.8064516129032258,222,0.1935483870967742,0.16910420475319926,0.08774703557312254,0.6560570419456847,0.05337494375335576,0.17305842831241816,binned monotonically
min,"(25.0, 99.0]",1.0,1140,26.0,99.0,903,0.7921052631578948,237,0.20789473684210527,0.16508226691042047,0.09367588932806324,0.5666030985873932,0.040459074797064974,0.17305842831241816,binned monotonically
min,"(99.0, 234.0]",2.0,1149,100.0,234.0,860,0.7484769364664926,289,0.2515230635335074,0.15722120658135283,0.11422924901185771,0.31944638744066023,0.013733625534577363,0.17305842831241816,binned monotonically
min,"(234.0, 351.0]",3.0,1136,235.0,351.0,707,0.6223591549295775,429,0.37764084507042256,0.12925045703839122,0.16956521739130434,-0.2714855667259051,0.01094487556182967,0.17305842831241816,binned monotonically
min,"(351.0, 496.0]",4.0,1148,352.0,496.0,714,0.6219512195121951,434,0.3780487804878049,0.13053016453382085,0.1715415019762846,-0.2732208854552814,0.011205153929735279,0.17305842831241816,binned monotonically
min,"(496.0, 767.286]",5.0,1137,497.0,767.0,682,0.5998240985048373,455,0.4001759014951627,0.1246800731261426,0.17984189723320157,-0.3663270748019492,0.020207269665878557,0.17305842831241816,binned monotonically
min,"(767.286, 8324.0]",6.0,1143,768.0,8324.0,679,0.5940507436570428,464,0.40594925634295714,0.12413162705667276,0.183399209486166,-0.39032273836202014,0.023133485069976555,0.17305842831241816,binned monotonically
min,Missing,,0,,,0,,0,,0.0,0.0,,,0.17305842831241816,binned monotonically
max,"(0.999, 540.333]",0.0,2667,1.0,540.0,2133,0.7997750281214848,534,0.20022497187851518,0.389945155393053,0.21106719367588933,0.6138295658166947,0.10980058157502193,0.16238040451281313,binned monotonically
max,"(540.333, 1544.0]",1.0,2668,541.0,1544.0,1730,0.6484257871064467,938,0.35157421289355323,0.3162705667276051,0.3707509881422925,-0.15893257520886112,0.008658713673900252,0.16238040451281313,binned monotonically
