Decile,min_prob,max_prob,events,nonevents,event_distribution,nonevent_distribution,cum_eventdist,cum_noneventdist,event_rate,KS
1,0.5932742224002785,0.6202615982786739,503.0,137.0,24.81%,3.13%,24.81%,3.13%,0.7859375,21.7
2,0.5339352886117705,0.5932626907585471,474.0,166.0,23.38%,3.80%,48.20%,6.93%,0.740625,41.3
3,0.34723860388156064,0.5339350117745889,192.0,448.0,9.47%,10.24%,57.67%,17.17%,0.3,40.5
4,0.29785868807790933,0.3472385700113743,141.0,499.0,6.96%,11.41%,64.63%,28.58%,0.2203125,36.0
5,0.28669052028414027,0.29785812548823326,127.0,513.0,6.27%,11.73%,70.89%,40.32%,0.1984375,30.599999999999998
6,0.25869573805566465,0.2866851405126101,110.0,530.0,5.43%,12.12%,76.32%,52.44%,0.171875,23.9
7,0.2092929134217202,0.25869469300820286,120.0,520.0,5.92%,11.89%,82.24%,64.33%,0.1875,17.9
8,0.13071132684792905,0.20928387682775082,119.0,521.0,5.87%,11.91%,88.11%,76.24%,0.1859375,11.899999999999999
9,0.11634273742599957,0.1307112326557989,119.0,513.0,5.87%,11.73%,93.98%,87.97%,0.18829113924050633,6.0
10,0.11634038880408341,0.11634272577667125,122.0,526.0,6.02%,12.03%,100.00%,100.00%,0.1882716049382716,0.0
