Acct id,min,max,mean,std,median,min_l3,max_l3,mean_l3,std_l3,median_l3,min_l6,max_l6,mean_l6,std_l6,median_l6,percentile_1_flag_gt,percentile_1_flag_lt,percentile_5_flag_gt,percentile_5_flag_lt,percentile_10_flag_gt,percentile_10_flag_lt,percentile_25_flag_gt,percentile_25_flag_lt,percentile_50_flag_gt,percentile_50_flag_lt,percentile_75_flag_gt,percentile_75_flag_lt,percentile_95_flag_gt,percentile_95_flag_lt,percentile_99_flag_gt,percentile_99_flag_lt,trend_slope,mean_a1_dwt,median_a1_dwt,std_a1_dwt,max_a1_dwt,mean_a2_dwt,median_a2_dwt,std_a2_dwt,max_a2_dwt,acct_id,r2,Christmas_Day,Columbus_Day,Independence_Day,Independence_Day_observed,Labor_Day,Martin_Luther_King_Jr_Day,Memorial_Day,New_Years_Day,Thanksgiving,Veterans_Day,Washingtons_Birthday,ENT,SMB,activate,convert,score_convert_lr,prediction_category
SA23461,301,1004,672.5714285714286,260.4348012733431,651.0,576,839,688.6666666666666,135.48554658462035,651.0,301,1004,714.3333333333334,258.3436987167805,745.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,1.0,110.75000000000001,1282.5000000000002,1282.5000000000002,38.5,1321.0000000000002,31.112698372208115,-12.020815280171291,313.96138297567745,497.09606717414295,SA23461,0.5987322656197344,0.0,-5.684341886080802e-14,-1.262177448353619e-29,0.0,0.0,-411.5,0.0,0.0,0.0,0.0,-357.5,1,0,1,1,0.5427068393486322,2
SA61662,417,1115,860.375,262.7589539047963,957.5,492,1115,855.6666666666666,324.3398423464705,960.0,417,1115,838.6666666666666,305.70617701751905,957.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.25,0.0,1.0,0.0,1.0,0.0,1.0,-93.12500000000024,1720.7500000000002,1720.7500000000002,40.24999999999977,1761.0,25.63262081801237,-22.273863607376256,297.01699235902316,478.00418408210624,SA61662,0.1677737783298895,0.0,0.0,-116.24999999999999,-116.24999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.25186911193629696,1
SA61184,635,1678,997.6666666666666,275.9500393955838,980.0,635,919,803.3333333333334,149.14534298238524,856.0,635,1678,961.6666666666666,381.62791651904433,887.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,1.0,34.53596403596427,1995.3333333333333,2111.5000000000005,198.07672475303323,2158.0,-14.613540144521977,105.71246378738886,331.72093358390543,274.35743110038044,SA61184,0.08151098850808913,0.0,0.0,0.0,0.0,-202.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0.5988830361544902,2
SA24255,477,1088,695.5454545454545,210.87359419157426,581.0,510,654,579.6666666666666,72.11333672305929,575.0,477,1000,625.5,193.30675104610287,556.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.45454545454545453,0.5454545454545454,0.0,1.0,0.0,1.0,0.0,1.0,97.63986013985992,1372.0,1405.0000000000002,161.32162491949637,1551.0,-40.3050865276332,-84.49926035179246,244.37027915303725,432.0422433049806,SA24255,0.02925772021513484,0.0,0.0,0.0,0.0,89.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.5283585255658627,1
SA72359,1312,7917,3865.6666666666665,2205.8305125281045,3495.0,3003,7917,5034.333333333333,2565.233972434743,4183.0,2994,7917,4740.833333333333,2109.8825006778616,3856.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.7777777777777778,1673.039826839829,6530.166666666668,4670.0,3342.7512703692987,11224.000000000002,-683.3479933386795,160.51323932934622,1501.4338879884124,1035.2043276571058,SA72359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0.6200295356744205,2
SA71438,150,400,242.16666666666666,63.504950892657085,240.0,198,258,232.0,30.789608636681304,240.0,198,280,243.33333333333334,26.97158999144594,242.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,40.658341658341755,484.3333333333334,468.00000000000006,68.74631303244965,575.5000000000001,-32.99831645537221,-21.213203435596427,57.267889005193055,33.234018715767746,SA71438,1.502798963159968e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999013,0.0,0.0,0.0,0.0,0,1,0,0,0.13071614795070485,1
SA29218,408,964,697.9166666666666,184.1543119399071,729.5,420,850,697.3333333333334,240.58539717392105,822.0,420,850,661.6666666666666,160.4327481116828,649.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,12.902347652347713,1395.8333333333337,1405.0000000000002,45.97885987663848,1447.0000000000002,-88.27049651812065,-108.18733752154179,217.6612110087091,304.0559159102155,SA29218,0.302480670686035,-30.24999999999998,-3.126388037344441e-13,1.2789769243681803e-13,-1.4210854715202004e-14,-1.4654943925052066e-14,-103.87499999999999,0.0,36.75,77.12499999999991,0.0,-313.875,1,0,1,1,0.5543418762705821,2
SA65614,232,1173,539.2857142857143,302.0296421908035,456.0,456,1173,723.3333333333334,391.73502949485294,541.0,371,1173,590.5,295.69223865363796,498.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,1.0,0.0,1.0,-171.83333333333414,1001.7500000000003,1001.7500000000003,199.2500000000001,1201.0000000000005,80.78694975056307,-47.37615433949867,347.3821292899219,665.3874810965413,SA65614,0.20127097188436352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-358.50000000000006,0,1,0,0,0.1407772376856967,1
SA23304,486,1267,789.1666666666666,211.73604207869647,757.0,714,1267,906.3333333333334,312.57692386568357,738.0,486,1267,817.6666666666666,275.27925215436534,726.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0,6.959040959040688,1578.333333333334,1576.0000000000005,18.851760896237046,1602.5000000000005,-71.6534871602368,-137.88582233137677,204.19421582840633,374.0594872476837,SA23304,0.3613143050590203,-74.07692307692312,3.694822225952521e-13,1.2789769243681803e-13,0.0,0.0,257.88461538461496,0.0,154.9230769230766,89.38461538461503,-177.61538461538464,0.0,1,0,1,1,0.5767573107424722,2
SA55608,277,895,603.0833333333334,186.70173507171236,639.5,277,734,556.3333333333334,244.87615917711003,658.0,277,734,546.1666666666666,192.2929189197217,639.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,-24.537212787212923,1206.1666666666667,1283.5000000000002,148.04860313048854,1336.0,-74.36406315478526,-118.79393923934,217.32173409742316,354.9676041556468,SA55608,0.3518488131887477,0.0,-80.0,0.0,0.0,257.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.2442007822379694,1
